question,answer
Is longterm anticoagulation preferable for patients with antiphospholipid antibody syndrome . result of a decision analysis?,"Although the applicability of this analysis to clinical decision-making is not entirely clear, patients with APS presenting with DVT appear to benefit from longterm warfarin (INR 3.0-4.0) that may be superior to warfarin (INR 2.0-3.0). Short term warfarin therapy seems to be less beneficial and the use of ASA does not offer a clear additional benefit. Randomized controlled trials are needed to provide a better basis for recommendations for the treatment APS."
Is there no transmantle pressure gradient in communicating or noncommunicating hydrocephalus?,This study demonstrates no factual support for existence of a transmantle pressure gradient in nonacute communicating or noncommunicating hydrocephalus.
Are multiple courses of antenatal corticosteroids associated with early severe lung disease in preterm neonates?,"ESLD, but not maternal risk factors, was associated with increased mortality in preterm infants after > or =3 courses ANCS."
Does low accuracy and low consistency of fourth-graders ' school breakfast and school lunch recall?,"The low accuracy and low consistency of children's recalls from this study raise concerns regarding the current uses of dietary recalls obtained from children. To improve the accuracy and consistency of children's dietary recalls, validation studies are needed to determine the best way(s) to interview children."
Does maximum Ki-67 staining in prostate cancer provide independent prognostic information after radical prostatectomy?,Estimates of Ki-67 growth fraction in areas of highest tumour grade may prove to be a useful prognostic biomarker after radical prostatectomy.
Does cerebellar blood volume in bipolar patients correlate with medication?,This evidence suggests that antipsychotic treatment may influence cerebellar blood volume. This effect will be important in considering imaging studies on medicated patients with bipolar disorder and may suggest novel pathways by which these medications affect their changes.
Does mismatch negativity predict psychotic experiences induced by NMDA receptor antagonist in healthy volunteers?,Smaller MMN indicates a NMDAR system that is more vulnerable to disruption by the NMDAR antagonist ketamine. MMN generation appears to index the functional state of NMDAR-mediated neurotransmission even in subjects who do not demonstrate any psychopathology.
Does beta-CIT-SPECT combined with UPDRS appear to distinguish different parkinsonian conditions?,The results suggest that the the combination of beta-CIT-SPECT and UPDRS motor scores has the potential to differentiate idiopathic Parkinson's disease from other parkinsonian conditions.
Is human neutrophil lipocalin a unique marker of neutrophil inflammation in ulcerative colitis and proctitis?,"We conclude that the increased release of HNL and MPO in colorectal perfusion fluids indicates neutrophil involvement in the local inflammatory process, and suggest that HNL may serve as a specific marker of intestinal neutrophil activation in UC. GM-CSF, and to some extent IL-8, may play a role in neutrophil accumulation and priming in this disease."
Does a polymorphism in the methylenetetrahydrofolate reductase gene predispose to colorectal cancers with microsatellite instability?,"The TT genotype of MTHFR is associated with an increased risk of CRC in older populations, possibly due to age related disturbances in folate metabolism. The TT genotype appears to predispose to CRC that is MSI+. This may reflect the involvement of aberrant DNA methylation frequently associated with MSI+. The 844ins68 CBS polymorphism may protect against proximal tumours."
Does focal ictal beta discharge on scalp EEG predict excellent outcome of frontal lobe epilepsy surgery?,"Only about 25% of FLE surgical patients have a focal beta-frequency discharge at seizure onset on scalp EEG. However, its presence is highly predictive of excellent postsurgical seizure control in either lesional or non-lesional FLE surgical patients."
Are attention deficits characteristic of schoolchildren with newly diagnosed idiopathic or cryptogenic epilepsy?,"Children with newly diagnosed ""epilepsy only"" do not have persistent attention deficits. AED treatment has no detrimental effect on attention. Prior school and behavior difficulties and a maladaptive reaction to the onset of epilepsy rather than epilepsy variables are related to decreased attentional efficiency."
Do uterine and fetal cerebral Doppler predict the outcome of third-trimester small-for-gestational age fetuses with normal umbilical artery Doppler?,"SGA fetuses with normal umbilical artery Doppler waveforms and abnormal uterine arteries and fetal middle cerebral artery waveforms have an increased risk of developing distress and being delivered by emergency Cesarean section. Particularly when both uterine and fetal cerebral waveforms are altered at the same time, the risk is exceedingly high (86%) and delivery as soon as fetal maturity is achieved seems advisable. On the other hand, when both vessels have normal waveforms, the chances of fetal distress are small (4%) and expectant management is the most reasonable choice."
Do the acceptability of an emergency medical dispatch system to people who call 999 to request an ambulance?,"Introducing EMD increases the amount of first aid and general advice given to callers, and satisfaction with these aspects of the service, while maintaining satisfaction with response times. Overall satisfaction with the service increased. However, some changes may be needed to prevent a small amount of dissatisfaction directly associated with EMD."
Is severe dysosmia specifically associated with Alzheimer-like memory deficits in nondemented elderly retirees?,Impaired odor identification in individuals without overt dementia is associated with an AD-like memory impairment and an increased rate of cognitive decline. The comorbid association of these deficits is consistent with the known hierarchical spread of preclinical AD pathology and may be a specific indicator of future clinical AD dementia.
"Is regional anesthesia a good alternative to general anesthesia in pediatric surgery : Experience in 1,554 children?","Caudal anesthesia seems to be an inexpensive, simple, and effective technique not only as a supplement for postoperative analgesia, but also as a single method of anesthesia. and the authors recommend its use in a wider setting of clinical entities in infraumbilical surgical procedures of children."
Is prediction of tumour volume and pathological stage in radical prostatectomy specimens improved by taking more prostate needle-biopsy cores?,"While taking more prostate needle biopsy cores seems to improve the detection of prostate cancer, there appears to be no major improvement in prognostic information over that gained from traditional sextant biopsies. Furthermore, the results suggest that the percentage of positive cores is the best predictor of both pathological stage and tumour volume, from among the information readily available from prostate needle biopsy. Given the variability in the number of cores obtained for diagnosis in clinical practice, these results add credence to the use of the percentage of positive cores in the biopsy set, with known predictors such as PSA and Gleason score, into future models that attempt to predict tumour biology."
Does c-erbB-2 and c-Met expression relate to cholangiocarcinogenesis and progression of intrahepatic cholangiocarcinoma?,"These results indicate that increased c-Met expression participates in cholangiocarcinogenesis and in the early developmental stages of intrahepatic cholangiocarcinoma, while increased c-erbB-2 expression contributes to the development of cholangiocarcinogenesis into an advanced stage associated with tumour metastasis."
Does massage therapy by mothers and trained professionals enhance weight gain in preterm infants?,"Mothers are able to achieve the same effect size as that of trained professionals, allowing cost-effective application of the treatment within the neonatal intensive care unit."
Does iron bind to the Apo-B protein of low-density lipoprotein?,"No binding was observed between iron, as a low molecular weight Fe(III) complex, and LDL. As a control albumin was able to bind iron, it seems evident that interaction of iron with LDL will involve other iron complexes."
Is minimal liver injury in chronic hepatitis C virus infection associated with low levels of soluble TNF-alpha/Fas receptors and acquisition in childhood?,The rate of progression of parenterally acquired chronic hepatitis C to end-stage liver disease might be related to an upregulation of the TNF-alpha/Fas pathways and an age-dependent host response.
Is the T cell protein tyrosine phosphatase a negative regulator of janus family kinases 1 and 3?,We have identified JAK1 and JAK3 as physiological substrates of TCPTP. These results indicate a negative regulatory role for TCPTP in cytokine signaling and provide insight into the molecular defect underlying the phenotype of TCPTP-deficient animals.
Is chromatin motion constrained by association with nuclear compartments in human cells?,This is the first report of distinct nuclear substructures constraining the movements of chromatin. These constraints reflect the physical attachment of chromatin to nuclear compartments or steric impairment caused by local ultrastructure. Our data suggest a role for the nucleolus and nuclear periphery in maintaining the three-dimensional organization of chromatin in the human nucleus.
Does native tissue second harmonic imaging improve endocardial and epicardial border definition in dobutamine stress echocardiography?,Native tissue SHI enhances LV image quality in all stress stages of DSE in unselected patients. This translates into beneficial effects on not only qualitative but also quantitative testing and diagnostic accuracy. SHI should be recommended as a standard tool in DSE and extends its applicability to difficult-to-image patients previously deemed unsuitable.
Is transthoracic three-dimensional echocardiography as good as magnetic resonance imaging in measuring dynamic changes in left ventricular volume during the heart cycle in children?,Digitized 3DE performed in the outpatient clinic and MRI were both useful methods for studying the physiological volume changes in left ventricle in children. These methods may be used for further study of the systolic and diastolic function of the left ventricle in various clinical conditions.
Is high transforming growth factor-beta and extracellular matrix mRNA response in renal allografts during early acute rejection associated with absence of chronic rejection?,"In summary, high mRNA levels for TGF-beta, collagen IV, and decorin, but not histopathologic changes, in biopsies taken during acute rejection episodes early after kidney transplantation are associated with absence of chronic rejection. We hypothesize that TGF-beta might have beneficial effects during acute rejection through its known antiinflammatory actions or as an inducer of tissue repair."
Does alcohol consumption alter insulin secretion and cardiac autonomic activity?,"The finding of no difference in insulin sensitivity between the two groups contrasts with, but does not entirely contradict, the results of previous epidemiological studies--perhaps suggesting that longer term changes such as liver enzyme induction may be important. The difference in insulin secretion questions the validity of previous studies of the influence of alcohol on insulin sensitivity, where insulin levels were used as a surrogate for insulin resistance."
Is interleukin-12 secretion by peripheral blood mononuclear cells decreased in normal pregnant subjects and increased in preeclamptic patients?,"Decreased IL-12 secretion by PBMC may cause Th2 dominance in normal pregnancy, while increased IL-12 secretion by activated monocytes may cause Th1 dominance in preeclampsia."
Is cD97-decay-accelerating factor interaction involved in leukocyte adhesion to endothelial cells?,We found that high levels of human DAF expressed on ECs abrogates C-mediated cell damage but did not affect the in vitro adhesive properties or antigen-presenting cell function of genetically modified porcine ECs.
Is upregulation of vascular endothelial growth factor receptors associated with advanced neuroblastoma?,"VEGF-A(165) is one of the major angiogenesis regulators among the ligands' family of VEGF, whereas its receptors KDR, and most probably Flt-1, may contribute to a poor prognosis (angiogenic) phenotype, as indicated by their upregulated MRNA levels in stage III neuroblastoma. VEGF-A(165) mainly contributes to increased serum VEGF levels and may serve as a diagnostic tool in advanced-stage neuroblastoma."
Is the effect of APOE epsilon4 allele on cerebral glucose metabolism in AD a function of age at onset?,The current findings indicate that the impact of the APOE epsilon4 genotype on cerebral glucose metabolism of patients with AD may be a function of age at symptom onset.
Do antemortem MRI findings correlate with hippocampal neuropathology in typical aging and dementia?,"Hippocampal atrophy, while not specific for AD, was a fairly sensitive marker of the pathologic AD stage (particularly among subjects with isolated AD pathology [r = -0.63, p = 0.001]) and consequent cognitive status."
Are renal proximal tubular cell growth and differentiation differentially modulated by renotropic growth factors and tyrosine kinase inhibitors?,"In contrast to EGF and IGF-I, HGF stimulated both growth and differentiation of renal proximal tubular cells, demonstrating the amazing biological potency of this renotropic growth factor. Selective TKIs may be a promising approach to modulate diseases with abnormalities in protein kinase signalling pathways such as renal cell carcinoma."
Are antral nodularity and positive CagA serology distinct and relevant markers of severe gastric inflammation in children with Helicobacter pylori infection?,Antral nodularity and positive CagA serology are distinct and relevant markers of severe gastric inflammation in children with H. pylori infection. The lack of both findings in the same child reflects low-grade or no gastritis.
Does increased primary resistance to recommended antibiotics negatively affect Helicobacter pylori eradication?,Primary resistance to clarithromycin or amoxicillin may underscore a potentially serious problem for the eradication of H. pylori infection. Testing for bacterial resistance may become necessary to improve therapeutic efficacy.
Does estrogen status correlate with the calcium content of coronary atherosclerotic plaques in women?,"Estrogen status is associated with coronary calcium and plaque area independent of age and CHD risk factors. Estrogen may modulate the calcium content of atherosclerotic plaques, as well as plaque area and may slow the progression of atherosclerosis in women."
Does equal increase in respiratory system elastance reflect similar lung damage in experimental ventilator-induced lung injury?,"In the setting of VILI a 50% increase in Ers corresponds to an equal level of lung damage, irrespective of ventilatory setting and time of ventilation."
Are antenatal steroids associated with a reduction in the incidence of cerebral white matter lesions in very low birthweight infants?,These observations suggest that a complete course of antenatal steroids may have a protective effect against cerebral white matter lesions in very low birthweight infants.
Does human lymphocyte antigen DR7 protect against proliferative retinopathy with type II diabetes mellitus?,Our results suggest that the presence of HLA-DR7 protects against the development of proliferative disease in the diabetic Mexican population.
Does tissue tracking allow rapid and accurate visual evaluation of left ventricular function?,"Systolic mitral annular displacement determined by tissue tracking correlates closely with mitral annular displacement determined by M-mode and with left ventricular ejection fraction. Thus, tissue tracking allows rapid semiquantitative evaluation of global left ventricular function by assessment of systolic mitral annular displacement."
Does delta opioid activation of the mitogen-activated protein kinase cascade require transphosphorylation of receptor tyrosine kinases?,"Taken together, these data suggest that the transactivation of resident RTKs does not appear to be required for OR-mediated ERK phosphorylation and that the tyrosine-phosphorylated delta-OR, itself, is likely to act as its own signalling scaffold."
Does medial temporal lobe atrophy predict Alzheimer 's disease in patients with minor cognitive impairment?,"The ability to detect patients at high risk for Alzheimer type dementia among those with minor cognitive impairment increases when data on age and memory function are combined with measures of medial temporal lobe atrophy. Volumetry of the hippocampus is preferred, but qualitative rating of medial temporal lobe atrophy is a good alternative."
Is hypertension an independent predictor of delayed graft function and worse renal function only in kidneys with chronic pathological lesions?,"Our findings suggest that the quality of the transplanted organ and the occurrence of DGF are strictly related to each other and can influence graft function through apparently nonimmune mechanisms. In addition, long-standing donor hypertension is a strong independent variable affecting both DGF and graft function of suboptimal cadaveric kidneys, at least up to 1 year."
Is the APACHE II score unreliable to diagnose necrotizing pancreatitis on admission to hospital?,"The evaluation of sensitivity, specificity, and positive and negative predictive value for all APACHE II score points showed that there was not a ""golden"" cutoff to detect necrotizing pancreatitis. We conclude that the APACHE II score on admission to the hospital is unreliable to diagnose necrotizing pancreatitis."
"Are high viral loads , serum alanine aminotransferase and gender predictive factors for the development of hepatocellular carcinoma from viral compensated liver cirrhosis?",Individuals with high viral loads should be monitored for the development of HCC. Clinical efforts at eradicating or reducing the viral load may reduce the risk for HCC.
Is the food intake recording software system valid among fourth-grade children?,"FIRSSt is somewhat less accurate than a dietitian-conducted 24hDR. However, this lower-cost procedure provides a promising method for assessing diet among children. Observation of consumption at school lunch may be reactive and artificially increase agreement. Obtaining a hair sample as a bogus pipeline may be a valuable technique for enhancing the accuracy of dietary assessment among children."
Does reimbursement claim analysis of outcomes with carvedilol and metoprolol?,"Compared with metoprolol, the more comprehensive adrenergic blockade achieved with carvedilol may translate into greater clinical benefits in patients with HF. Despite higher pharmacy costs, lower total costs were observed in carvedilol-treated patients."
Is detection of epithelial tumour RNA in the plasma of colon cancer patients associated with advanced stages and circulating tumour cells?,Epithelial tumour RNA is detectable in plasma from colon cancer patients. This molecular event is associated with advanced stages and circulating tumour cells. Our results could offer new approaches in the diagnosis and monitoring of colon cancer.
Does volume of lymphatic metastases independently influence prognosis in colorectal cancer?,"The number of nodes involved with metastatic tumor, rather the volume of metastatic involvement of the regional lymph nodes, predicts outcome. These results suggest that micrometastatic disease may have a similar prognosis as macrometastatic disease when the same number of lymph nodes are involved with metastatic tumor."
Do 6-MP metabolite profiles provide a biochemical explanation for 6-MP resistance in patients with inflammatory bowel disease?,Serial metabolite monitoring identifies a novel phenotype of IBD patients resistant to 6-MP/AZA therapy biochemically characterized by suboptimal 6-TGN and preferential 6-MMPR production upon dose escalation.
Is survival of fetal skin grafts prolonged on the human peripheral blood lymphocyte reconstituted-severe combined immunodeficient mouse/skin allograft model?,"Our results show that fetal skin differentiates and expresses increased amounts of MHC class I and class II antigens when transplanted to SCID mice. However, these levels are much lower than the levels found in neonatal skin. We demonstrate that the survival of human fetal skin allografts is markedly prolonged compared with that of neonatal skin grafts in the huPBMC-SCID mouse model. Our results support the hypothesis that low levels of MHC antigen expression lead to a delay in the rejection of fetal skin and further demonstrate the utility of the huPBMC-SCID mouse model to investigate the molecular and cellular mechanisms of the immune response to human fetal tissues."
Does the urge to smoke depend on the expectation of smoking?,It was shown that smoking cues elicit craving due mainly to a generated expectation of the occurrence of smoking and less due to salience or long history of associative learning. Theoretical and practical implications of the results are discussed.
Is feeding dysfunction associated with poor growth and health status in children with cerebral palsy?,"For children with moderate to severe cerebral palsy, feeding dysfunction is a common problem associated with poor health and nutritional status. Even children with only mild feeding dysfunction, requiring chopped or mashed foods, may be at risk for poor nutritional status. Parental report of feeding dysfunction with a structured questionnaire may be useful in screening children for nutritional risk."
Does [ Treatment of bulimia nervosa -- result from Modum Bads Nervesanatorium ]?,"The results may indicate that improvement occurs even for severe bulimia with personality disorders, and that hospital treatment may be needed to accomplish this kind of change. Follow-up studies are necessary in order to corroborate these findings."
Are high levels of interleukin 13 in rheumatoid arthritis sera modulated by tumor necrosis factor antagonist therapy : association with dendritic cell growth activity?,The increase of biologically active IL-13 in RA supports the concept that IL-13 regulates immune cell (including dendritic cell) activity and indicates how the varied anatomical distribution of cytokines may play a role in the RA disease process. The differential regulation of circulating IL-13 and M-CSF levels by TNF antagonists further implies discrete roles in the TNF-cytokine network in RA.
Does peroxisome proliferator-activated receptor-γ agonist rosiglitazone reduce secondary damage in experimental spinal cord injury?,"Rosiglitazone signiﬁcantly improved functional recovery, probably via attenuation of the local inflammatory reaction and reduced apoptosis."
"Are daily cytokine fluctuations , driven by leptin , associated with fatigue severity in chronic fatigue syndrome : evidence of inflammatory pathology?",Our results support the role of cytokines in the pathophysiology of CFS.
Does echocardiographic left ventricular end-diastolic pressure volume loop estimate predict survival in congestive heart failure?,EDPVE is a strong predictor of CHF survival which is independent of LV ejection fraction and traditional Doppler indices of LV diastolic function.
Does plasma osteopontin velocity differentiate lung cancers from controls in a CT screening population?,These are early evidence for utility of monitoring plasma OPN during CT screening to assist in identification of NSCLCs.
Does the Val66Met polymorphism at the BDNF gene influence Wisconsin Card Sorting Test results in children and adolescents with bipolar disorder?,Our findings from this sample of children and adolescents with BD do not replicate results from studies of adults and suggest the existence of differences in the neurobiology of this disorder across the life cycle. Investigations of larger samples are necessary to confirm these data.
Is skills learning in robot-assisted surgery benefited by task-specific augmented feedback?,"Task-specific augmented feedback is beneficial to RAS skills learning. Particularly, the RP and grip force feedback could be useful for training complex tasks."
Does mUC5AC expression correlate with invasiveness and progression of extramammary Paget 's disease?,"The degree of MUC5AC expression may correlate with the invasiveness and progression of EMPD, and may be a useful marker for identifying high-risk EMPD cases."
Is duration of migraine associated with cardiac diastolic dysfunction?,Cardiac diastolic dysfunction is associated with migraine. A long history of migraine is an independent predictor of diastolic dysfunction.
Does cilostazol inhibit accumulation of triglycerides in a rat model of carotid artery ligation?,"Our results indicate that CLZ can inhibit the ubiquitous accumulation of TG in arterial tissues, possibly by ameliorating tissue ischemia. CLZ may be useful in improving arterial tissue hemodynamics and lipid metabolism."
Are cD4 estimating reagents in dry format compatible with conventional flow cytometer ; FACSCalibur for estimation of absolute CD4 count & percentages?,The ReaPan dry reagents can be used on existing FACSCalibur machines with additional training on Cell Quest Pro software without incurring any additional equipment cost and this can eliminate the requirement of cold chain during transport and on site storage. The stability of the stained samples has great clinical significance preventing redrawing of the blood samples from the patients.
Do pI3K and Notch signal pathways coordinately regulate the activation and proliferation of T lymphocytes in asthma?,These data suggested that PI3K signal pathway and Notch signal pathway may coordinately regulate the cell proliferation and differentiation processes through up-regulating cyclinD1 and down-regulating p27kip1 of CD4(+) T lymphocytes.
Do advanced sleep schedules affect circadian gene expression in young adults with delayed sleep schedules?,"This wholesale change in circadian gene expression may reflect considerable advances in circadian phase (i.e., advance in DLMO) from the first to the second week resulting from the advanced, daily personal light exposures."
Does fibroblast growth factor signaling promote physiological bone remodeling and stem cell self-renewal?,"The summarized studies, concerning regulation of stem cells and their microenvironment, suggest that FGF signaling manipulation can serve to improve current clinical stem cell mobilization and transplantation protocols. In addition, it may help to develop therapies specifically targeting leukemic stem cells and their supportive microenvironment."
Is cognitive slowing in Parkinson 's disease related to frontostriatal dopaminergic dysfunction?,Our study indicates that dopaminergic dysfunction within neural networks linking striatum to prefrontal cortex is involved in the slowing of both automatic and controlled cognitive processing in PD patients.
Does impaired visual recognition memory predict Alzheimer 's disease in amnestic mild cognitive impairment?,Cognitive 'biomarkers' evaluating the function of brain areas that are the target of degenerative change should be considered for the early diagnosis of AD.
Are tNNT2 gene polymorphisms associated with susceptibility to idiopathic dilated cardiomyopathy in the Han Chinese population?,These results suggest that the TNNT2 polymorphisms might play an important role in susceptibility to DCM in the Chinese Han population.
Is cortical porosity in children determined by age-dependent osteonal morphology?,"Structure of osteons and canals varied during growth. Large asymmetrical drifting osteons with giant active canals (remodeling space) predominated until the mid-teens and accounted for > 70% of childhood cortical porosity. Thereafter smaller concentric (adult type) osteons increasingly predominated. Gender differences may relate to greater fracture rates in boys, and race differences to greater fracture rates in whites. The role of osteocyte-mediated mechanotransduction in osteonal structure and cortical porosity during growth warrants further exploration."
Does urinary angiotensinogen predict adverse outcomes among acute kidney injury patients in the intensive care unit?,Elevated urinary angiotensinogen is associated with adverse events in AKI patients in the ICU. It could be used to identify high risk patients who would benefit from timely intervention that could improve their outcomes.
Is anorexia nervosa linked to reduced brain structure in reward and somatosensory regions : a meta-analysis of VBM studies?,Global and regional meta-analyses suggest that excessive restrained eating as found in those with anorexia nervosa coincides with structural brain changes analogous to clinical symptoms.
Do high soluble vascular cell adhesion molecule-1 concentrations predict long-term mortality in hemodialysis patients?,"In MHD patients, higher sVCAM-1 concentrations independently predict all-cause and cardiovascular mortality. This biomarker may be used as a valid surrogate marker for predicting outcomes."
Does immunolesion-induced loss of cholinergic projection neurones promote β-amyloidosis and tau hyperphosphorylation in the hippocampus of triple-transgenic mice?,"Overall, this extended model promises further insights into the complexity of AD and contributes to novel treatment strategies also targeting the cholinergic system."
Is microcephaly associated with early adverse neurologic outcomes in hypoplastic left heart syndrome?,"In term nonsyndromic HLHS, fetal and neonatal microcephaly are associated with early adverse neurologic outcomes but not mortality."
Does analysis of a gene co-expression network establish robust association between Col5a2 and ischemic heart disease?,"Network-based approaches can enable the discovery of clinically-interesting predictive insights that are accurate and robust. Col5a2 shows predictive potential in MI, and in principle may represent a novel candidate marker for the identification and treatment of ischemic cardiovascular disease."
Is the ADAM12 upregulated in synovitis and postinflammatory fibrosis of the synovial membrane in patients with early radiographic osteoarthritis?,"ADAM12 is upregulated in the synovial tissue during synovitis on mRNA and protein level. We suggest that ADAM12 could be implicated in the development of KOA-associated synovitis, especially in the occurrence of postinflammatory fibrosis."
Do antibiotic supplements affect electrophysiological properties and excitability of rat hippocampal pyramidal neurons in primary culture?,"These findings suggest that addition of antibiotic supplements to culture media influences the neuronal excitability and alters the electrophysiological properties of cultured neurons, possibly through changing the ionic conductance underlying neuronal excitability."
"Is radiofrequency a secure and effective method for pancreatic transection in laparoscopic distal pancreatectomy : results of a randomized , controlled trial in an experimental model?",The fibrosis caused by an RF-assisted device can be at least as safe and effective as stapler compression to achieve pancreatic parenchyma sealing in a porcine LDP model.
Do genetic variants in the NOTCH4 gene influence the clinical features of migraine?,Our study shows that genetic variations within the NOTCH4 gene significantly modify the clinical characteristics of migraine and may have a role in disease pathogenesis.
Is gamma-glutamyltransferase associated with cardiovascular and all-cause mortality : a meta-analysis of prospective cohort studies?,"GGT is an independent predictor for future CV mortality and all-cause mortality, and might be independent of alcohol intake."
Do patterns of self-management in pediatric type 1 diabetes predict level of glycemic control 2 years later?,Findings underscore the stability of self-management patterns in pediatric type 1 diabetes and the need for preventive interventions that are tailored to specific patterns of self-management associated with risk for problematic glycemic control.
Does adjuvant IMRT/XELOX radiochemotherapy improve long-term overall- and disease-free survival in advanced gastric cancer?,"After a median follow-up period of over 5 years, OS and DFS were improved in the IMRT/XELOX treated patients compared to the 3D-CRT/5-FU/FA group. Long-term observation revealed no clinical indications of therapy-induced secondary tumors or renal toxicity."
Does additional ECT increase BDNF-levels in patients suffering from major depressive disorders compared to patients treated with citalopram only?,"Data from the present study suggest that, in patients suffering from severe MDD, treatment with citalopram was associated both with an increase of plasma BDNF and amelioration of depression, while additional ECT was associated with even higher plasma BDNF levels. Further studies should focus on possible cognitive and behavioral consequences."
Is response to citalopram associated with SLC6A4 genotype in African-Americans and Caucasians with major depression?,"The results are consistent with a previous finding and in accord with most of the results obtained in Caucasian subjects that SLC6A4 genotype is not related, at least by itself, to a response to treatment in either ethnic group to any clinically significant degree."
Do volumetric measurement of root resorption following molar mini-screw implant intrusion using cone beam computed tomography?,Volume measurement using CBCT was able to effectively evaluate root resorption caused by mini-screw intrusion. The highest volume loss was observed in the mesiobuccal root among the three roots of the investigated first molar teeth.
Are reduced crowding and poor contour detection in schizophrenia consistent with weak surround inhibition?,"We suggest that patients' poor performance at contour perception arises not as a consequence of an ""integration deficit"" but from a combination of reduced sensitivity to local orientation and abnormalities in contextual processing. We propose that this is a consequence of abnormal gain control, a phenomenon that has been implicated in orientation-selectivity as well as surround suppression."
Does inflammatory pre-conditioning of mesenchymal multipotent stromal cells improve their immunomodulatory potency in acute pyelonephritis in rats?,The beneficial capacity of MMSCs to alleviate renal inflammation was more pronounced when pre-conditioned MMSCs were used. This approach could be used to prime MMSCs with different inflammatory modulators to enhance their engraftment and function in an immunoprotected fashion.
"Is the interval to biochemical failure prognostic for metastasis , prostate cancer-specific mortality , and overall mortality after salvage radiation therapy for prostate cancer?","After SRT, a short IBF can be used for early identification of patients who are most likely to experience progression to DM, PCSM, and OM. IBF ≤18 months may be useful in clinical practice or as an endpoint for clinical trials."
Does iL-6 expression predict treatment response and outcome in squamous cell carcinoma of the esophagus?,"IL-6 was significantly associated with poor prognosis in patients with esophageal cancer. Targeting this cytokine could be a promising strategy for treatment of esophageal cancer, as evidenced by inhibition of aggressive tumor behavior and treatment resistance."
Does [ Home fall in infants before walking acquisition ]?,"Before walking acquisition, children are particularly vulnerable and have the highest rate of TBI after a vertical fall. In this age group, the rate of abuse is also higher. Given this double risk, numerous cerebral CT scans are performed (35-40% of the target population). This protocol, however, leads to a low proportion of detected TBI (<10%) compared to the high number of CT scans and an additional risk of irradiation."
Do therapeutic interventions for macular diseases show characteristic effects on near and distance visual function?,"Cystoid macular edema resolution was associated with rapid synchronous reading and dVA improvement, whereas nAMD was followed by faster recovery of distance than reading acuity. In both conditions, reading acuity expressed by critical angular resolution was more suppressed by active disease and recovered relatively more than distance acuity. These discrepancies indicate that reading acuity might be a more sensitive measure for vision decrease in macular diseases than dVA. Reading acuity seems to be an important adjunct assessing intravitreal therapy efficacy."
Do cYP3A4/5 polymorphisms affect the blood level of cyclosporine and tacrolimus in Chinese renal transplant recipients?,Genetic polymorphisms of CYP3A5*3 and CYP3A4*18B may be partly responsible in large interindividual variability of cyclosporine and tacrolimus blood levels in Chinese renal transplant patients during the first month after transplantation. A patient carried combined genotype of CYP3A4*1/*1-CYP3A5* 3/*3 might require lower tacrolimus doses to achieve target concentration levels. Genotyping of CYP3A4*18B and CYP3A5*3 before transplantation is of benefit in determining a suitable initial dose for each patient.
Are subjective memory complaints associated with diurnal measures of salivary cortisol in cognitively intact older adults?,Significant associations between SMC and diurnal measures of cortisol in cognitively intact elderly suggest that hypothalamic-pituitary-adrenal axis dysfunction may contribute to early neuropathologic changes in older adults who complain of memory decline undetected on neuropsychological testing.
Is iterative curettage associated with local control in giant cell tumors involving the distal tibia?,Extended curettage was the unique modality of surgical treatment for all tumors. We found the incidence of local recurrence higher than that reported for other locations but recurrences were manageable with repeated curettage. Complications and function appeared better than those reported for series of ankle fusion or reconstruction for bone tumors.
Is fibroblast growth factor 23 a predictor of aortic artery calcification in maintenance hemodialysis patients?,Plasma FGF23 level is significant increased in hemodialysis patients and is independently associated with AAC.
Does lymphoma B-cell responsiveness to CpG-DNA depend on the tumor microenvironment?,"Responsiveness to CpG stimulation differs in subcutaneous, cerebral, and ocular tumors, according to the tumoral and molecular microenvironment, and this should be considered for further therapeutic approaches."
Do non-invasive tests for fibrosis and liver stiffness predict 5-year survival of patients chronically infected with hepatitis B virus?,"Liver stiffness measurement or FibroTest can predict survival in chronic HBV infection. Thus, these tools may help physicians to early assess prognosis and discuss specific treatments, such as liver transplantation."
Is urine output associated with prognosis in patients with acute kidney injury requiring continuous renal replacement therapy?,Urine output but not BUN concentration was significantly associated with a better prognosis in critically ill patients with AKI requiring CRRT.
Are genetic variants in the IL12B gene associated with inflammatory bowel diseases in the Korean population?,This study is first to identify SNP rs2288831 in the IL12B gene as a susceptible variation for CD. Further studies in other ethnic groups are warranted to validate the association of this genetic variant with IBD.
Is trust the basis for effective suicide risk screening and assessment in veterans?,"In ambulatory care settings, both provider behaviors and system modifications may lead to more honest disclosure of suicidal thoughts."
"Are pADI4 and HLA-DRB1 genetic risks for radiographic progression in RA patients , independent of ACPA status : results from the IORRA cohort study?","In the present study, we found that PADI4 risk allele and HLA-DRB1 shared epitope are independent genetic risks for radiographic progression in Japanese rheumatoid arthritis patients. The results of this study give important knowledge of the risks on progressive joint damage in RA patients."
Do core exercises elevate trunk stability to facilitate skilled motor behavior of the upper extremities?,Core exercises are likely to enhance trunk stabilization to improve upper extremity function. It is possible for core exercises to be adapted for patients.
Is rpp25 a major target of autoantibodies to the Th/To complex as measured by a novel chemiluminescent assay?,Rpp25 is a major target of autoantibodies to the Th/To autoantigen complex. Further studies are needed to evaluate the clinical utility of the new assays.
Does optical coherence tomography support optic nerve involvement in amyotrophic lateral sclerosis?,These findings indicate that involvement of the anterior visual pathway is not one of the non-motor manifestations of ALS.
